,id,HotelName,sponsor,event,venue,City&Country,measurements,occasion,notes,call_number,keywords,language,date,place,place_type,currency,currency_symbol,status,page_count,dish_count
11242,28753,,Depuy Canal House,,,,35.5x21.5cm,,,1987-0013_wotm,,,1987-10-11,Depuy Canal House,,Dollars,$,complete,4,38
8669,26049,,BOARD OF TRADE OF JERSEY CITY,FOURTH ANNUAL DINNER,GOVT;,HOTEL WASHINGTON,FOLDER; 4.5 X 6;,SOC;,,1892-023,,,1892-01-28,Board Of Trade Of Jersey City,,,,complete,4,24
6281,23066,,S.M.S.VINETA,BANQUET IN HONOR OF VISITORS OF S.M.S VINETA IN NEW ORLEANS,GOVT(?);,"ST. CHARLES HOTEL, NEW ORLEANS LA",BOOKLET; ILLUS; 5 X 7;,COMPLIMENTARY/TESTIMONIAL,WINES WITH EACH COURSE; MENU IN ENGLISH BUT TOASTS AND EVENT IN GERMAN; SEAL ON BACK COVER IN EENGLISH; PHOTO OF SHIP ON FRONT COVER;,1901-191,,,1901-01-26,S.M.S.Vineta,,,,complete,8,31
7429,24487,,(CLUB),LUNCH OR DINNER,COMMERCIAL,"SAVARIN'S CAFE,NY",BROADSHEET; ILLUS; 6.5 X 10.5;,,PRICES LISTED FOR EACH ITEM; COMPLETE WINE LIST ON BACK;,1896-190,,,1896-10-24,Savarin's Cafe,,Dollars,$,complete,2,372
17053,34876,Maplewood Hotel,Maplewood Hotel,,,,,,War Veterans and Sons' Association,1912-0598_wotm,,,1912-09-22,Maplewood Hotel,,,,complete,1,42
14206,31801,,National Republican Club House [?],,,,21x15.5cm folded; 21x31cm open,,The National Repulican Club,1925-0020_wotm,,,1925-08-06,National Republican Club House [?],,,,complete,4,19
10288,27772,,Hotel Regency,,,,23x15cm folded; 23x30.5cm open,,,1969-0023_wotm,,,1969-04-07,Confrerie De La Chaine Des Rotisseurs,,,,complete,5,23
1741,15255,,,,,,,,,,,,1900-10-17,Provident Building,,,,complete,2,32
5859,22539,,RED STAR LINE,LUNCH,COMMERCIAL,SS WESTERNLAND,CARD;ILL;5X8;,DAILY;,"RED STAR LINE DONE WITH COOKING UTENSILS;ANGEL WITH APRON AND CAP STIRRING POT;GARLAND OF UTENSILS,FOOD,ETC;",1900-843,,,1900-02-09,Red Star Line,,,,complete,2,21
17031,34853,H?tel de l'Ath?n?e,H?tel de l'Ath?n?e,,,,,,New York Press Club Dinner to Governor Woodrow Wilson,1912-0574_wotm,,,1912-10-09,H?tel de l'Ath?n?e,,,,complete,1,10
6307,23095,,HAMBURG-AMERIKA LINIE,LUNCHEON,COMMERCIAL,ENROUTE  ABOARD SCHNELLDAMPFER (EXPRESS-STEAMER) FURST BISMARCK,CARD; ILLUS; 5 X 8;,,"ENGLISH AND GERMAN; FEMALE FIGURE, FOOD, AND SHIP;",1899-838,,,1899-12-16,Hamburg Amerika Linie,,,,complete,2,26
4389,20745,,ORIENTAL HOTEL,DINNER,COMMERCIAL,"MANHATTAN BEACH, NY",CARD; ILLUS; COL; 5X9;,,TABLE D'HOTE MENU; HOTEL SEAL AT TOP OF MENU;,1900-4190,,,1900-08-29,Oriental Hotel,,,,complete,2,49
2361,16311,,,,,,,,,,,,1901-01-01,Holland House,,Cents,c,complete,8,9
7303,24329,,ROYAL PALM HOTEL,LUNCHEON,COMMERCIAL,"MIAMI BISCAYNE BAY,FLA.",BROADSHEET; HOTEL EMBLEM; 4 X 7.5;,,LIST OF ALL LOCAL FISH ON BACK;,1901-737,,,1901-03-23,Hotel Royal Palm,,,,complete,2,36
10904,28411,,The Cliff Dwellers,,,,18x17.5cm folded; 35.5x17.5cm open,,,1958-0059_wotm,,,1958-09-30,The Cliff Dwellers,,Dollars,$,complete,3,31
15126,32738,Louis Sherry,Louis Sherry,,,,26.5x15.5cm folded; 26.5x31cm open,,,1917-0475_wotm,,,1917-11-15,Louis Sherry,,Dollars,$,complete,5,482
1803,15373,,,,,,,,,,,,1901-06-07,Oceanic Steamship Company,,,,complete,2,28
8596,25952,,KING VICTOR EMMANUEL III,BALL,GOVT;,"PALAZZO DEL QUIRINALE, ROME, ITALY",CARD; ILLUS; COL; 5X7.5;,[COMPL?];,"WINES LISTED; MENU IN FRENCH; BEIGE CARD BEAUTIFULLY ILLUSTRATED; SPON, EVNT AND PL NOTED BY FEB;",1907-203,,,1907-02-11,King Victor Emmanuel Iii,,,,complete,2,12
13119,30667,,"S.S. ""De Grasse""""""",,,,27x21cm folded; 27x42cm open,,French line,1937-0140_wotm,,,1937-06-16,"S.S. ""De Grasse""""""",,,,complete,2,110
10193,27676,,INTERNATIONAL GOURMET CLUB,DINNER,RESTAURANT,HARBIN INN [UNKNOWN],FOLDER; ILLUS; 6 X 9,,UNPRICED MENU; PRINTED IN BLACK INK; PREPARED BY CHEF WANG CHING-SAN; IN ENGLISH AND CHINESE; ILLUSTRATION OF CLUB LOGO OF TWO HANDS WITH EATING UTENSILS ABOVE A LAURAL WREATH,1968-0006,,,1968-09-23,Mittersill,,Dollars,$,complete,7,82
2442,16558,,TOYO KISEN KAISHA,DINNER,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,DAILY MENU;,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-4392,,,1900-09-17,Toyo Kisen Kaisha,,,,complete,2,35
