id	HotelName	sponsor	event	venue	City&Country	measurements	occasion	notes	call_number	keywords	language	date	place	place_type	currency	currency_symbol	status	page_count	dish_count
12901		san remo hotel	luncheon menu	COMMERCIAL	NEW YORK, NY	BROADSIDE; ILLUS; COL; 4X6.75;		TABLE D'HOTE MENU; HOTEL SEAL AT TOP OF MENU	1900-1036			2/13/00	San Remo Hotel				complete	2	19
17504												5/1/00	Baltimore And Ohio Rr Royal Blue Line		Dollars	$	complete	2	98
18832												10/18/01	Southern Railway				complete	2	33
28278		s.s. homeric				30x21.5cm folded; 30x43cm open			1965-0090			11/24/65	S.S. Homeric				complete	4	26
									wotm										
26896		hotel schwarzer bock	room service	HOTEL	Hotel Schwarzer Bock	Folder; 5.75 x 8.25 inches		Dieter Zander Collection; room service menu.	Zander				Hotel Schwarzer Bock		Deutsche Marks	DM	complete	2	33
									343										
									undated										
26537		hotel im palais schwarzenberg		HOTEL	Hotel im Palais Schwarzenberg	Folder; 6 x 8.25 inches		Dieter Zander Collection.	Zander				Hotel Im Palais Schwarzenberg		Austrian Schillings	S	complete	3	63
									211										
23110		british schools and universities club of new york	breakfast	EDUC;	HOLLAND HOUSE [NY]	CARD; 4.25 X 6;	OTHER (SOC?);	PRICED WINE LIST ON BACK;	1899-834			1899-12-14	British Schools And Universities Club Of New York		Dollars	$	complete	2	29
28537		s.s. flandre				27x21cm folded; 27x42cm open		English is secondary language	1957-0075			8/1/57	S.S. Flandre				complete	3	58
									wotm										
24257		hotel knickerbocker	dinner	COMMERCIAL	NEW YORK	FOLDER; ILLUS; 8.75 X 12.5;		PRICED MENU; ILLUSTRATION OF OF YOUNG GIRL TITLED IN FRENCH;	1907-034			1/6/07	Hotel Knickerbocker		Dollars	$	complete	4	177
26369		capital hotel		HOTEL	Capital Hotel	Tri-fold; 5.75 x 11 inches folded		Dieter Zander Collection.	Zander			6/1/76	Capital Hotel		UK Pounds	£	complete	3	44
									33										
32853	Waldorf Astoria	waldorf astoria				24x16cm folded; 24x32cm open			1917-0154			10/24/17	Waldorf Astoria		Dollars	$	complete	4	151
									wotm										
31649		the biltmore				20x15cm folded; 20x30cm open		The George Washington-Sulgrave Institution	1926-0008			2/22/26	The Biltmore				complete	4	11
									wotm										
12600												4/18/00	Canadian Pacific Railway Company				complete	2	41
20816		norddeutscher lloyd bremen	breakfast	COMMERCIAL	SS KRONPRINZ WILHELM	CARD; ILL; COL; 5.25X8.25;	DAILY;	SHIP AT SEA; MAY BE USED AS A POSTCARD;	1901-2567			10/19/01	Norddeutscher Lloyd Bremen				complete	2	17
22910		hotel lyon	daily dinner	COMMERCIAL	?	BROADSIDE;5X7.5;			1892-127			1892-11-02	Hotel Lyon				complete	2	30
25197		hotel algazar	dinner	COMMERCIAL	ST.AUGUSTINE,FL	CARD;ILLUS;COL;5X9;	DAILY;	HOTEL EMBLEM;	1901-288			2/6/01	Hotel Alcazar				complete	2	45
34147	Waldorf Astoria	waldorf astoria				21.5x13.5cm			1914-0849			8/26/14	Waldorf Astoria		Dollars	$	complete	1	133
									wotm										
30676		"s.s. ""europa"""""""				25.5x15.5cm folded; 25.5x31cm open		Menu also contains English text	1937-0164			9/9/37	"S.S. ""Europa"""""""				complete	4	52
									wotm										
12670												6/6/01	Oceanic Steamship Company				complete	2	50
31298		hotel astor				34.5x23cm			1933-0080			2/25/33	Hotel Astor		Dollars	$	complete	2	177
									wotm										
29069		savoy hilton				21x14cm folded; 21x27.5cm open			1961-0079			10/9/61	Savoy Hilton				complete	6	26
									wotm										
13396		oceanic steamship company - sonoma	dinner - second cabin	COMMERCIAL	EN ROUTE	BROADSIDE EMBLEM COL; 5.5 X 7;			1901-1354			5/20/01	Oceanic Steamship Company   Sonoma				complete	2	26
20687		norddeutscher lloyd bremen	lunch	COMMERCIAL	EN ROUTE ABOARD DAMPFER KRONPRINZ WILHELM	CARD; ILLUS; 5.5 X 8.25;		MENU IN GERMAN;ILLUSTRATION OF SHP AND SAILBOAT; BACK OF MENU IMPRINTED FOR USE AS POSTCARD;	1901-2588			10/22/01	Norddeutscher Lloyd Bremen				complete	2	11
20012		pacific mail steamship company	breakfast	COMMERCIAL	SS CITY OF RIO DE JANEIRO	BROADSIDE; 5.75X8.75;		TWO COPIES;	1900-3618			6/12/00	Pacific Mail Steamship Company				complete	2	19
